date,usd,eur,inr,uah
03.03.2020,66.32,73.41,0.92,2.68
04.03.2020,66.44,73.93,0.9,2.66
05.03.2020,66.07,73.73,0.89,2.64
06.03.2020,66.18,73.68,0.9,2.67
07.03.2020,67.51,75.84,0.91,2.72
11.03.2020,72.02,81.85,0.97,2.84
12.03.2020,71.47,81.02,0.97,2.79
13.03.2020,74.02,83.65,0.99,2.86
14.03.2020,73.18,81.86,0.98,2.8
17.03.2020,74.12,82.74,0.99,2.81
18.03.2020,73.88,82.3,0.99,2.73
19.03.2020,77.21,84.88,1.03,2.84
20.03.2020,80.15,87.26,1.06,2.88
21.03.2020,78.04,84.15,1.04,2.78
24.03.2020,80.88,86.7,1.06,2.87
25.03.2020,78.84,85.42,1.03,2.83
26.03.2020,77.79,84.14,1.01,2.77
27.03.2020,78.72,85.96,1.04,2.79
28.03.2020,77.73,85.73,1.03,2.75
07.04.2020,76.4,82.63,1.0,2.8
08.04.2020,75.45,82.01,0.99,2.78
09.04.2020,75.74,82.23,0.99,2.77
10.04.2020,74.6,81.08,0.97,2.73
11.04.2020,73.75,80.73,0.97,2.71
14.04.2020,73.52,80.53,0.96,2.71
15.04.2020,73.31,80.11,0.96,2.69
16.04.2020,73.71,80.67,0.96,2.71
17.04.2020,74.71,81.27,0.97,2.74
18.04.2020,73.94,80.11,0.96,2.73
21.04.2020,74.66,81.1,0.97,2.75
22.04.2020,76.25,82.61,0.99,2.81
23.04.2020,77.04,83.68,1.0,2.84
24.04.2020,75.12,81.14,0.98,2.78
25.04.2020,74.71,80.25,0.97,2.74
28.04.2020,74.49,80.76,0.97,2.74
29.04.2020,74.57,80.77,0.97,2.75
30.04.2020,73.68,80.04,0.97,2.73
01.05.2020,72.72,79.11,0.96,2.69
07.05.2020,73.97,80.05,0.97,2.74
08.05.2020,74.11,80.06,0.97,2.76
09.05.2020,73.87,80.0,0.97,2.75
13.05.2020,73.43,79.43,0.97,2.73
14.05.2020,73.58,79.77,0.97,2.75
15.05.2020,73.92,79.9,0.97,2.77
16.05.2020,73.2,79.12,0.96,2.74
19.05.2020,72.97,78.94,0.96,2.74
20.05.2020,72.39,79.16,0.95,2.73
21.05.2020,72.33,79.18,0.95,2.72
22.05.2020,70.92,77.79,0.93,2.64
23.05.2020,71.88,78.44,0.94,2.68
26.05.2020,71.59,77.88,0.94,2.66
27.05.2020,71.14,77.78,0.93,2.64
28.05.2020,71.06,77.9,0.93,2.63
29.05.2020,71.1,78.26,0.93,2.64
30.05.2020,70.75,78.54,0.93,2.62
02.06.2020,69.71,77.63,0.92,2.59
03.06.2020,68.98,76.77,0.91,2.57
04.06.2020,68.34,76.62,0.9,2.55
05.06.2020,69.01,77.32,0.91,2.58
06.06.2020,68.63,77.96,0.9,2.57
09.06.2020,68.31,77.18,0.9,2.57
10.06.2020,68.67,77.34,0.9,2.57
11.06.2020,68.61,77.92,0.9,2.57
12.06.2020,69.12,78.52,0.91,2.59
16.06.2020,70.39,79.14,0.92,2.62
17.06.2020,69.75,79.04,0.91,2.6
18.06.2020,69.48,78.38,0.91,2.59
19.06.2020,69.61,78.29,0.91,2.59
20.06.2020,69.57,78.0,0.91,2.6
23.06.2020,69.48,77.82,0.91,2.6
24.06.2020,68.83,77.68,0.91,2.58
25.06.2020,68.83,77.75,0.9,2.58
26.06.2020,69.46,78.05,0.91,2.6
27.06.2020,69.12,77.54,0.91,2.59
30.06.2020,69.95,78.68,0.92,2.61
01.07.2020,70.44,78.99,0.93,2.64
